,arch,pretrained,family,aro,colorswap,crepe,eqben,imagecode,mmvp_vlm,sugarcrepe,svo_probes,valse,vl_checklist,whatsup,winoground,coco_i2t,coco_t2i,flickr_i2t,flickr_t2i,imagenet,21_tasks_avg,comp_avg,i2t_avg,t2i_avg
133,auto-ViT-45M-32-Text-18M,laion400m,TinyCLIP,43.46339938,17.33333333,14.88086533,29.31021302,23.93570808,12.59259259,75.44816195,87.70228907,67.10898728,67.02195639,40.63989723,6.25,51.7,34.79408237,79.5,61.96,61.37,58.19758468,40.4739503,65.6,48.37704118
134,auto-ViT-63M-32-Text-31M,laion400m,TinyCLIP,44.92850298,17,14.63248406,29.93720755,25.45612511,11.85185185,77.3276466,87.98262884,66.80875038,67.31069533,39.99628005,7.75,54.1,37.71691323,81.8,64.32,63.91,58.56481926,40.91518106,67.95,51.01845662
135,auto-ViT-45M-32-Text-18M,laion-yfcc,TinyCLIP,42.52084639,16.33333333,15.52418228,29.93403283,25.23892268,16.2962963,76.53218259,88.07342547,67.62554832,67.12884305,40.83086774,6,53.58,36.91723311,80,63.94,62.682,59.13268175,41.00320675,66.79,50.42861655
136,auto-ViT-63M-32-Text-31M,laion-yfcc,TinyCLIP,43.94059357,17.66666667,14.9692629,30.38949988,25.32580365,14.81481481,78.024918,88.17894982,66.10490787,67.51225906,41.04192318,6.75,55.7,38.80047981,83.5,65.34,64.472,58.97108345,41.22663329,69.6,52.0702399
137,NLP-ViT-B-32,in21k_yfcc14m_gcc15m,DIME-FM,55.95482149,10,19.98020213,27.4006509,24.06602954,13.33333333,71.12813,86.50399884,67.12396415,70.85944474,41.15620161,8.75,46.92,32.71491403,76.8,60.5,66.502,57.16076721,41.35473139,61.86,46.60745702
138,Prompts-ViT-B-32,in21k_yfcc14m_gcc15m,DIME-FM,57.22264505,11,20.5258608,27.93055615,23.32754127,15.55555556,70.05054431,86.68353372,66.37061475,70.46086719,41.52571315,9.5,46.92,33.18272691,76.9,61.52,66.572,58.33218516,41.67945266,61.91,47.35136345
139,NegCLIP,coco-ft,StructuredCLIP,80.88320599,18.33333333,30.28533141,30.33458563,26.41181581,14.07407407,83.68751911,90.7441291,73.71525219,74.95159921,42.88949197,8,59.34,45.15393842,85.7,71.58,60.926,55.8933974,47.85919482,72.52,58.36696921
140,CE-CLIP,coco-ft,StructuredCLIP,76.27081407,13.33333333,34.56188044,26.63581437,24.5004344,14.81481481,85.66653141,90.09723786,76.73070419,76.91622719,41.68752656,5.25,56.04,47.09316273,75.3,68.94,49.918,49.86493647,47.20544322,65.67,58.01658137
141,GNM-CLIP,coco-ft,StructuredCLIP,57.12776064,12.66666667,17.34681581,28.24220804,25.02172024,10.37037037,78.69434015,89.16056574,71.08048478,70.61232006,42.13606207,10.25,58.08,41.06357457,82.9,68.8,61.416,56.28990629,42.72577621,70.49,54.93178729
142,TSVLC-Negs_RB,cc3m-ft,StructuredCLIP,83.53507703,10.66666667,35.97929946,27.36571913,24.02258905,10.37037037,76.87588671,89.76908562,69.35022567,77.51084504,40.85539941,6.75,46.12,36.35745702,74,64.88,58.468,54.92258019,46.08759701,60.06,50.61872851
143,TSVLC-Negs_RB_LLM,cc3m-ft,StructuredCLIP,82.66594246,11.33333333,32.98092394,27.59373044,24.67419635,10.37037037,73.1882339,89.73918048,72.07578147,79.22896739,39.88660167,5.75,46.4,36.62534986,74.9,65.1,59.73,55.34773442,45.79060515,60.65,50.86267493
144,DAC-LLM,cc3m-ft,StructuredCLIP,86.39147108,13.66666667,60.43877629,25.66830637,22.98001738,12.59259259,85.26727022,88.90661977,70.46431727,83.45540055,42.57678137,4.75,29.92,37.32906837,53,64.6,51.056,51.08739172,49.76318496,41.46,50.96453419
145,DAC-SAM,cc3m-ft,StructuredCLIP,83.34437986,13.33333333,63.4420218,25.47652137,24.28323197,9.62962963,83.79912725,88.44101518,70.25416116,84.71483247,42.36706777,8.5,33.12,33.94242303,59.7,61.7,52.35,51.86284366,49.79877682,46.41,47.82121152
146,CLoVe,laioncoco600m-ft,StructuredCLIP,82.96082195,18.66666667,41.58136219,26.95659254,25.19548219,13.33333333,84.50295055,87.87924557,71.86457259,66.58887896,41.83248538,6.5,48.2,42.72291084,69.5,68.66,53.066,50.94409505,47.32186599,58.85,55.69145542
147,ALIP,yfcc15m,ALIP,51.61355143,34.66666667,16.70414662,23.20578004,22.45873154,14.07407407,75.92845838,83.81651891,63.45938764,67.92921365,42.78737012,8.25,46.76,29.3442623,70.5,48.86,40.106,37.6119232,42.07449159,58.63,39.10213115
148,CLIP_ViT-B-16,cc3m,LaCLIP,34.71493875,11.66666667,11.51460995,17.02222797,15.46481321,11.85185185,61.83974316,78.75823887,56.51156544,61.10239511,41.54069418,5.75,12.36,9.348260696,26.6,18.64,15.69,23.56463233,33.97814543,19.48,13.99413035
149,LaCLIP_ViT-B-16,cc3m,LaCLIP,35.87980944,7.666666667,12.82578273,18.80520116,16.1164205,8.148148148,66.36030178,83.7578482,61.65294638,64.00113834,40.62068348,4.75,18.4,12.93082767,37.3,28.64,21.08,26.52854096,35.04874557,27.85,20.78541383
150,CLIP_ViT-B-16,cc12m,LaCLIP,42.74927707,14,15.63174736,25.38338394,22.06776716,14.07407407,71.39726621,83.42795738,60.64800745,66.95589371,43.93217005,5.25,37.14,25.55777689,64.7,48.56,41.194,38.53062325,38.7931287,50.92,37.05888844
151,LaCLIP_ViT-B-16,cc12m,LaCLIP,36.99916384,10,15.00083945,25.36769784,21.06863597,11.11111111,70.63581979,88.19352956,65.1232459,68.67019663,40.52791252,5.25,37.66,26.43742503,63.5,51.38,48.358,42.90178535,38.16234605,50.58,38.90871251
152,CLIP_ViT-B-16,redcaps,LaCLIP,43.1373072,6.666666667,15.9614571,23.45969063,17.98436142,8.888888889,66.08871845,74.69714701,60.29901899,66.8415301,42.15001619,8,26.7,16.78928429,28.9,21.3,42.794,40.08780048,36.18123355,27.8,19.04464214
153,LaCLIP_ViT-B-16,redcaps,LaCLIP,32.29305664,5.666666667,14.12656505,21.79761092,16.81146829,4.444444444,64.9541235,73.52528051,59.9461651,68.0535944,42.05046431,4,22.44,15.89364254,22.7,23.62,45.368,42.25483654,33.97245332,22.57,19.75682127
154,CLIP_ViT-B-32,laion400m,LaCLIP,44.45632532,18,15.21027181,29.3408967,22.67593397,14.07407407,74.73640521,86.91647685,66.29800605,67.14538739,43.19632046,7,51.78,34.73010796,76.7,59.62,62.05,57.90274955,40.75417482,64.24,47.17505398
155,LaCLIP_ViT-B-32,laion400m,LaCLIP,38.99783526,7,14.14264003,27.14361208,21.89400521,11.11111111,70.98015526,88.780843,66.40139122,69.48070499,39.97752682,6.75,42.98,31.66333467,70.5,57.58,64.434,58.97706143,38.55498541,56.74,44.62166733
156,CLIP_ViT-B-16,laion400m,LaCLIP,42.61356802,17,15.12518722,30.62434441,24.28323197,14.81481481,77.08074283,88.46280665,65.26488233,68.66483306,40.40360998,7,55.4,37.91283487,81.2,65.18,67.024,60.80213421,40.94483511,68.3,51.54641743
157,LaCLIP_ViT-B-16,laion400m,LaCLIP,41.1851567,11.33333333,14.95031365,28.26417243,22.8931364,12.59259259,72.47354536,90.33224208,67.81101602,69.7202669,39.4811814,6.5,47.8,35.87365054,77.3,62.68,69.338,62.28227204,39.79474641,62.55,49.27682527
158,CLIP_ViT-L-14,laion400m,LaCLIP,55.19284843,11.66666667,17.14664912,30.7426194,24.15291051,14.07407407,76.41563375,88.85659226,67.5971431,69.32241437,41.10604554,7.75,58.32,40.17193123,85.6,68.28,68.208,61.05717749,42.00196643,71.96,54.22596561
159,LaCLIP_ViT-L-14,laion400m,LaCLIP,52.55999282,8,22.13782876,28.11577776,20.89487402,8.148148148,76.06405903,90.11288847,69.77113655,71.27236374,41.81488956,5.75,49.86,37.16513395,78.3,64.82,71.596,64.46914381,41.22016324,64.08,50.99256697
160,CLIP_ViT-B-16,synthci10m,SynthCLIP,39.72524551,7.666666667,13.89784141,20.52565079,18.46220678,6.666666667,67.01680218,80.0246987,61.41509546,64.07151421,41.33276629,3.75,24.5,16.237505,55.6,36.6,20.458,24.33535701,35.37959622,40.05,26.4187525
161,CLIP_ViT-B-16,synthci20m,SynthCLIP,41.27774307,9,14.42737005,22.08538605,19.89574283,5.185185185,69.40138661,80.9914495,61.20884143,64.59459928,41.58905525,4,30.72,19.64414234,64,43.74,27.604,29.00714529,36.13806327,47.36,31.69207117
162,CLIP_ViT-B-16,synthci30m,SynthCLIP,40.16019372,12,13.56236715,23.52695253,19.59165943,6.666666667,70.2455359,81.93506552,60.49991978,61.62664148,40.97221291,5.25,32.88,20.69972011,65.2,46.38,30.232,29.98833165,36.33643459,49.04,33.53986006
163,CLIP_ViT-B-16,cc12m,SynthCLIP,43.04380886,12,16.09222365,23.55857039,20.19982624,10.37037037,70.46558805,82.03623249,60.5483698,65.54557966,42.321197,5.75,30.58,20.27988804,52.7,41.08,33.684,35.04164837,37.66098054,41.64,30.67994402
164,CLIP_vitb16,laion3m,StableRep,40.27780036,11,15.22252189,18.72978773,15.72545613,9.62962963,62.01049202,74.83710063,57.3490677,62.83754902,42.08112032,5.25,14.16,9.104358257,27.4,18.24,21.828,30.5362569,34.57921045,20.78,13.67217913
165,StableRep-pp_vitb16,laion3m,StableRep,39.02313335,6.333333333,14.01892745,19.9479319,17.72371851,3.703703704,63.49661948,77.36680166,57.98710096,63.79903882,41.0745937,6.25,19.16,12.96281487,39.6,29.48,31.702,31.78293089,34.22707524,29.38,21.22140744
166,CLIP_vitb16,laion10m,StableRep,46.38168527,6.666666667,15.87326968,23.43300523,20.19982624,14.81481481,67.87891145,81.76855554,60.24851109,64.92084315,41.63070411,5.25,32.28,20.53578569,55.1,39.32,40.726,43.41464659,37.42223277,43.69,29.92789284
167,StableRep-pp_vitb16,laion10m,StableRep,39.1173668,6,11.16748109,22.82626463,19.28757602,13.33333333,67.94117709,81.39991113,60.12236227,65.4251008,40.80319459,4.75,31.24,19.80007997,55.7,41.92,40.848,36.97369691,36.01448065,43.47,30.86003998
168,CLIP_vitb16,laion20m,StableRep,45.0552735,6.666666667,16.58119217,25.70004262,20.80799305,10.37037037,70.36828151,83.46539987,60.44874137,65.35829015,40.9669788,5.5,38.84,24.14234306,61.2,45.42,45.746,47.41526628,37.60743584,50.02,34.78117153
169,StableRep-pp_vitb16,laion20m,StableRep,36.16610396,7,10.23006078,23.72758695,20.54735013,5.925925926,69.1971824,81.17029203,59.71290765,64.96389517,40.4965776,4.25,34.8,21.79128349,61.5,45.08,43.608,39.67393974,35.28232355,48.15,33.43564174
170,CLIP_vitb16,laion50m,StableRep,44.49467884,11.66666667,15.90304609,26.69680132,22.54561251,8.148148148,71.03597778,84.77233173,62.01043559,65.22253447,41.3946574,4.75,42.38,27.08516593,69.7,51.36,49.56,48.12469824,38.22007421,56.04,39.22258297
171,StableRep-pp_vitb16,laion50m,StableRep,35.67806535,8.666666667,8.945388507,23.88868824,21.02519548,10.37037037,69.60386523,81.53078399,61.57755812,63.0483201,40.45893057,3.75,35.62,22.59896042,63.9,46.86,44.878,40.73303593,35.71198605,49.76,34.72948021
172,CLIP_ViT-B-16,syn1m,Scaling,33.82020835,4.666666667,12.19880021,10.95160438,13.03214596,4.444444444,54.94122302,62.21797047,51.60861492,58.94431445,40.84652617,5.5,1.76,1.503398641,4.4,2.78,4.096,14.80702341,29.43104325,3.08,2.14169932
173,CLIP_ViT-B-16,real1m,Scaling,34.75769296,1.666666667,11.84163522,10.84859385,13.16246742,6.666666667,53.95757267,62.62388991,52.37815572,57.61552347,41.73148819,6.5,1.42,1.067572971,3,2.32,3.75,15.88387642,29.47919606,2.21,1.693786485
174,CLIP_ViT-B-16,synreal1m,Scaling,35.53649376,5.666666667,12.74830219,13.64940426,12.94526499,9.62962963,57.48338968,68.34879454,53.9576359,60.79717524,43.8946034,5,4.26,3.150739704,9.2,6.26,9.446,20.23131798,31.63811335,6.73,4.705369852
175,CLIP_ViT-B-16,syn2m,Scaling,35.99608196,3.333333333,13.15319586,14.63878011,14.2050391,5.185185185,59.58867802,68.91012848,53.55657874,61.45261099,41.80110699,4.75,6.02,4.290283886,14.4,8.7,10.704,19.89495535,31.38089323,10.21,6.495141943
176,CLIP_ViT-B-16,real2m,Scaling,35.88274134,4.333333333,12.16409622,14.27763514,13.81407472,8.888888889,57.74203238,69.46316744,55.18943629,60.44958383,41.82200562,6,4.88,3.390643743,10.8,7,10.572,21.53605795,31.66891627,7.84,5.195321871
177,CLIP_ViT-B-16,synreal2m,Scaling,36.45364824,5.333333333,12.63968856,18.12731493,15.59513467,7.407407407,62.36139179,74.32428126,57.56718865,61.4820332,43.70885513,5,11.24,7.297081168,25.3,16.44,19.744,27.39782526,33.33335643,18.27,11.86854058
178,CLIP_ViT-B-16,syn4m,Scaling,38.13566089,6.666666667,13.63463233,18.18133123,15.55169418,7.407407407,63.39124084,73.71092088,55.97078438,62.60521206,41.27540665,4.75,12.82,8.472610956,29.8,18.78,19.836,24.53815235,33.44007979,21.31,13.62630548
179,CLIP_ViT-B-16,real4m,Scaling,39.17446156,8.333333333,13.08604245,19.24054675,15.68201564,8.888888889,61.03919979,75.3701769,58.37167299,60.55392103,43.00430543,4.5,14.5,9.184326269,29.1,19.18,21.676,31.77860495,33.93704706,21.8,14.18216313
180,CLIP_ViT-B-16,synreal4m,Scaling,38.92236159,6.666666667,12.18280917,21.49211387,17.98436142,11.11111111,65.01685048,78.60595077,59.9764584,61.99468273,40.51186757,4.5,21.98,14.3982407,44.8,30.92,30.574,35.33689632,34.91376948,33.39,22.65912035
181,CLIP_ViT-B-16,syn8m,Scaling,38.85195994,8.333333333,11.9498362,21.31590872,16.33362294,11.11111111,66.74445823,77.92883529,58.81697365,63.8105709,42.631862,4.75,22.34,13.99040384,44.7,29.58,28.962,28.74526498,35.21487269,33.52,21.78520192
182,CLIP_ViT-B-16,real8m,Scaling,40.34605813,9.666666667,13.51995386,23.06333364,18.20156386,8.888888889,65.998594,80.14130396,60.30937431,63.00241494,42.56633232,5,26.9,16.72530988,46.3,33.78,34.24,40.30869584,35.89204038,36.6,25.25265494
183,CLIP_ViT-B-16,synreal8m,Scaling,39.69955158,8.666666667,12.22445834,24.57549058,18.85317116,11.85185185,68.00833975,81.56942862,61.60181437,64.33645938,41.05129727,5.5,32.66,20.53578569,57.4,42.6,40.726,42.41478643,36.49487746,45.03,31.56789284
184,CLIP_ViT-B-16,syn16m,Scaling,39.83560317,9,11.53061699,24.20028612,18.24500434,9.62962963,68.77145628,79.66695826,59.73544291,65.46443909,42.37729029,7,29.76,19.17632947,57.1,40.82,37.686,34.72742716,36.28806059,43.43,29.99816473
185,CLIP_ViT-B-16,real16m,Scaling,42.10241551,6.333333333,14.67610694,25.47378654,20.24326672,11.85185185,68.82488328,82.97046033,59.992738,64.80008687,40.44062501,5.25,35.16,23.02678928,61.6,44.04,43.766,45.76060523,36.9132962,48.38,33.53339464
186,CLIP_ViT-B-16,synreal16m,Scaling,38.20058489,10.33333333,11.10744565,26.87392796,19.98262381,13.33333333,70.75678514,83.72252474,62.94039015,65.60987064,40.13678669,5.5,39.64,25.91363455,68.1,50.52,48.24,47.65724356,37.37480053,53.87,38.21681727
187,CLIP_ViT-B-16,syn32m,Scaling,40.49022146,9,11.21912293,25.6618328,19.6785404,10.37037037,72.2092994,81.56277948,61.48929164,64.63212252,40.97464332,6.5,37.7,23.53458617,65.4,47.96,43.75,38.28661856,36.98235203,51.55,35.74729308
188,CLIP_ViT-B-16,real32m,Scaling,41.5850452,11,13.82745921,27.59929507,21.76368375,9.62962963,71.31637918,84.59607383,63.23533008,66.58722865,41.27110722,6,41.54,27.20511795,66.8,51.38,50.458,49.96572415,38.20093599,54.17,39.29255898
189,CLIP_ViT-B-16,synreal32m,Scaling,41.1703376,9,12.90614413,28.46738613,22.11120765,11.85185185,71.99190005,85.25644035,62.99497535,64.48405286,40.41038606,4.5,45.24,29.94802079,74.5,56.18,52.852,50.99577845,37.9287235,59.87,43.0640104
190,CLIP_ViT-B-16,syn64m,Scaling,39.17502998,10,11.41843137,26.2342046,20.24326672,8.888888889,72.38899712,82.27402458,62.60850798,62.822132,40.64591945,3.75,42.44,26.54538185,73.3,52.78,48.038,41.39420951,36.70411689,57.87,39.66269092
191,CLIP_ViT-B-16,real64m,Scaling,43.93695118,9,15.0095552,28.26332226,22.80625543,12.59259259,73.15630553,85.74309197,63.57665167,66.10637541,41.71516043,4.75,45.94,30.90363854,72.6,55.32,55.128,53.15373032,38.88802181,59.27,43.11181927
192,CLIP_ViT-B-16,synreal64m,Scaling,42.54141442,12.33333333,13.03385999,28.97429445,22.67593397,15.55555556,73.8266422,86.00738219,64.63632497,65.12254337,38.84117948,6.25,48.12,32.16313475,79.9,59.42,56.4,53.95006418,39.14987199,64.01,45.79156737
193,CLIP_ViT-B-16,syn128m,Scaling,39.53981247,10.33333333,11.43574418,26.93961689,21.19895743,8.148148148,73.24191541,83.24176275,62.32193045,63.603723,40.98676074,4.75,43.46,27.62894842,73.6,53.18,51.198,40.25523206,37.14514207,58.53,40.40447421
194,CLIP_ViT-B-16,real128m,Scaling,42.5421259,14.66666667,15.72877045,29.40222509,21.72024327,15.55555556,73.71533479,87.3531808,64.31774073,67.45776771,41.55455346,5.5,49.3,33.93442623,77.1,60.06,61.364,56.85177506,39.9595137,63.2,46.99721311
195,CLIP_ViT-B-16,synreal128m,Scaling,46.55833229,15,14.94820461,30.81278866,23.50130321,11.11111111,75.21987169,87.76399626,66.60117749,65.88521686,40.86539163,6.5,53.08,36.34146341,81.8,63.22,62.858,58.05746134,40.39728282,67.44,49.78073171
196,CLIP_ViT-B-16,syn256m,Scaling,39.91805083,13.66666667,11.45157668,27.31858827,20.85143354,9.62962963,74.52823767,83.8983108,62.70997097,62.79604191,41.13494681,7,47.12,30.12395042,78,58.34,54.42,44.32818492,37.90862115,62.56,44.23197521
197,CLIP_ViT-B-16,real256m,Scaling,44.33658429,16.33333333,15.13176738,30.0130273,23.15377932,15.55555556,75.26518153,88.38753495,66.19251484,68.06782255,41.9607947,7.5,53.54,37.10115954,81.6,64.74,65.398,59.06520866,40.99149131,67.57,50.92057977
198,CLIP_ViT-B-16,synreal256m,Scaling,48.86838957,14.66666667,17.89017746,31.19284507,24.23979149,17.03703704,75.15885681,88.18258861,66.01565598,66.58154222,41.72471333,6.25,56.48,38.09276289,85.6,66.6,65.436,58.47546522,41.48402202,71.04,52.34638145
199,CLIP_ViT-B-16,syn371m,Scaling,39.46499384,16,11.41636868,27.64266161,22.32841008,10.37037037,74.47832336,84.36477136,63.54345771,62.0804366,41.37252082,5,48.46,31.06757297,79.6,58.42,55.7,44.84438497,38.17185954,64.03,44.74378649
200,CLIP_ViT-B-16,real371m,Scaling,43.31441804,15,16.22160797,30.54737693,25.36924414,18.51851852,75.14299138,88.35524704,67.74418191,67.41220461,40.26658613,7.5,55.06,38.04478209,83.2,65.52,66.75,59.89618516,41.28269805,69.13,51.78239104
201,CLIP_ViT-B-16,synreal371m,Scaling,47.06976152,21,16.00199703,31.47140881,24.67419635,14.81481481,75.63998639,88.9159232,66.59559682,67.41565164,40.34251754,7.25,57.24,38.7764894,85.4,67.88,66.558,59.84828089,41.76598784,71.32,53.3282447
